"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","77 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","35"
"Interval:","60 Min"
"Title:","Northbound Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/22/2025 14:00 - 14:59,0,0,2,7,20,28,1,1,0,0,0,0,0,0,0,59,35.3,39.7
07/22/2025 15:00 - 15:59,1,1,3,26,112,141,30,1,0,0,0,0,0,0,0,315,36.1,40.4
07/22/2025 16:00 - 16:59,0,0,3,31,150,139,30,2,0,0,0,0,0,0,0,355,35.9,40.2
07/22/2025 17:00 - 17:59,0,0,3,22,143,150,26,3,0,0,0,0,0,0,0,347,36.1,40.2
07/22/2025 18:00 - 18:59,0,1,2,15,123,111,11,2,0,0,0,0,0,0,0,265,35.7,39.8
07/22/2025 19:00 - 19:59,0,0,4,14,80,69,14,3,0,0,0,0,0,0,0,184,35.8,40.2
07/22/2025 20:00 - 20:59,0,1,2,15,80,57,7,2,0,1,0,0,0,0,0,165,35.3,39.7
07/22/2025 21:00 - 21:59,0,0,1,11,45,40,10,1,0,0,0,0,0,0,0,108,35.8,40.3
07/22/2025 22:00 - 22:59,0,0,1,11,34,16,5,1,0,0,0,0,0,0,0,68,34.6,39.5
07/22/2025 23:00 - 23:59,0,0,0,5,13,13,5,0,0,0,0,0,0,0,0,36,35.9,40.7
07/23/2025 00:00 - 00:59,0,0,0,1,3,1,1,0,0,1,1,1,0,0,0,9,44.2,61.8
07/23/2025 01:00 - 01:59,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,7,35.6,38.4
07/23/2025 02:00 - 02:59,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,9,38.8,43.9
07/23/2025 03:00 - 03:59,0,0,1,3,3,2,0,0,0,0,0,0,0,0,0,9,31.7,36.4
07/23/2025 04:00 - 04:59,0,0,0,1,7,7,1,2,0,0,0,0,0,0,0,18,37.2,40.0
07/23/2025 05:00 - 05:59,0,0,3,5,19,23,7,0,0,0,0,0,0,0,0,57,35.7,40.6
07/23/2025 06:00 - 06:59,0,0,3,7,39,49,8,1,1,0,0,0,0,0,0,108,36.2,40.3
07/23/2025 07:00 - 07:59,0,2,2,19,59,68,21,1,0,0,0,0,0,0,0,172,35.9,40.7
07/23/2025 08:00 - 08:59,1,2,4,18,88,83,17,2,0,0,0,0,0,0,0,215,35.5,40.2
07/23/2025 09:00 - 09:59,0,0,2,19,61,72,15,2,0,0,0,0,0,0,0,171,36.0,40.4
