"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4825 Douglas Dr"
"Comments:","In front of Community Center"
"Dwell:","77 ms"
"Measurements:","English"
"Start Date:","07/22/2025"
"Start Time:","00:00"
"Export Version:","Speed V2.10"
"Posted Speed:","35"
"Interval:","60 Min"
"Title:","Total Speeds"
"Date/Time","5-15 MPH","16-20 MPH","21-25 MPH","26-30 MPH","31-35 MPH","36-40 MPH","41-45 MPH","44-50 MPH","51-55 MPH","56-60 MPH","61-65 MPH","66-70 MPH","71-71 MPH","76-80 MPH","81-99 MPH","Total""Mean Speed","85th Percentile"
07/22/2025 14:00 - 14:59,0,0,8,20,50,45,2,1,0,0,0,0,0,0,0,126,34.1,39.2
07/22/2025 15:00 - 15:59,1,1,10,76,243,223,38,1,0,0,0,0,0,0,0,593,35.2,39.9
07/22/2025 16:00 - 16:59,0,0,8,107,318,213,35,2,0,0,0,0,0,0,0,683,34.7,39.5
07/22/2025 17:00 - 17:59,0,1,6,67,270,232,38,3,0,0,0,0,0,0,0,617,35.4,39.9
07/22/2025 18:00 - 18:59,0,1,7,43,253,175,18,3,0,0,0,0,0,0,0,500,35.1,39.4
07/22/2025 19:00 - 19:59,1,0,6,45,186,122,19,4,0,0,0,0,0,0,0,383,34.9,39.6
07/22/2025 20:00 - 20:59,0,2,8,51,161,94,16,3,0,1,0,0,0,0,0,336,34.5,39.4
07/22/2025 21:00 - 21:59,0,0,6,46,99,63,13,1,1,0,0,0,0,0,0,229,34.3,39.4
07/22/2025 22:00 - 22:59,0,0,2,32,80,31,7,2,0,0,0,0,0,0,0,154,34.0,38.6
07/22/2025 23:00 - 23:59,0,0,3,21,34,18,6,0,0,0,0,0,0,0,0,82,33.7,39.1
07/23/2025 00:00 - 00:59,0,0,1,9,5,1,3,0,0,1,1,1,0,0,0,22,36.5,44.7
07/23/2025 01:00 - 01:59,0,1,0,0,9,4,0,0,0,0,0,0,0,0,0,14,33.8,37.8
07/23/2025 02:00 - 02:59,0,0,1,2,6,4,2,1,0,0,0,0,0,0,0,16,35.6,41.3
07/23/2025 03:00 - 03:59,1,0,1,3,7,6,1,0,0,0,0,0,0,0,0,19,32.9,39.0
07/23/2025 04:00 - 04:59,0,0,0,2,20,9,1,2,0,0,0,0,0,0,0,34,35.6,39.6
